"Instante lectura","Presión"
"2015-09-08 00:00:00.0","1006.5"
"2015-09-09 00:00:00.0","1005.0"
"2015-09-10 00:00:00.0","1006.7"
"2015-09-11 00:00:00.0","1003.6"
"2015-09-12 00:00:00.0","1003.5"
"2015-09-13 00:00:00.0","998.3"
"2015-09-14 00:00:00.0","1004.0"
"2015-09-15 00:00:00.0","987.8"
"2015-09-16 00:00:00.0","986.8"
"2015-09-17 00:00:00.0","1004.2"
"2015-09-18 00:00:00.0","1012.3"
"2015-09-19 00:00:00.0","1013.9"
"2015-09-20 00:00:00.0","1011.4"
"2015-09-21 00:00:00.0","1010.3"
"2015-09-22 00:00:00.0","1009.9"
"2015-09-23 00:00:00.0","1010.5"
"2015-09-24 00:00:00.0","1009.6"
"2015-09-25 00:00:00.0","1008.3"
"2015-09-26 00:00:00.0","1007.8"
"2015-09-27 00:00:00.0","1009.7"
"2015-09-28 00:00:00.0","1008.4"
