"Instante lectura,""Presión"""
"2013-06-26 00:00:00.0,""910.4"""
"2013-06-27 00:00:00.0,""910.7"""
"2013-06-28 00:00:00.0,""912.2"""
"2013-06-29 00:00:00.0,""912.9"""
"2013-06-30 00:00:00.0,""909.3"""
"2013-07-01 00:00:00.0,""905.5"""
"2013-07-02 00:00:00.0,""906.8"""
"2013-07-03 00:00:00.0,""910.5"""
"2013-07-04 00:00:00.0,""911.1"""
"2013-07-05 00:00:00.0,""910.8"""
"2013-07-06 00:00:00.0,""911.0"""
"2013-07-07 00:00:00.0,""911.0"""
"2013-07-08 00:00:00.0,""909.1"""
"2013-07-09 00:00:00.0,""906.5"""
"2013-07-10 00:00:00.0,""903.6"""
"2013-07-11 00:00:00.0,""902.2"""
"2013-07-12 00:00:00.0,""903.9"""
"2013-07-13 00:00:00.0,""906.6"""
"2013-07-14 00:00:00.0,""908.3"""
"2013-07-15 00:00:00.0,""908.7"""
"2013-07-16 00:00:00.0,""909.5"""
"2013-07-17 00:00:00.0,""910.3"""
"2013-07-18 00:00:00.0,""907.6"""
"2013-07-19 00:00:00.0,""904.8"""
"2013-07-20 00:00:00.0,""904.0"""
"2013-07-21 00:00:00.0,""905.0"""
"2013-07-22 00:00:00.0,""905.5"""
"2013-07-23 00:00:00.0,""905.5"""
"2013-07-24 00:00:00.0,""906.4"""
"2013-07-25 00:00:00.0,""905.1"""
"2013-07-26 00:00:00.0,""901.5"""
"2013-07-27 00:00:00.0,""898.8"""
"2013-07-28 00:00:00.0,""902.7"""
"2013-07-29 00:00:00.0,""911.1"""
"2013-07-30 00:00:00.0,""911.7"""
"2013-07-31 00:00:00.0,""905.6"""
"2013-08-01 00:00:00.0,""901.3"""
"2013-08-02 00:00:00.0,""904.4"""
"2013-08-03 00:00:00.0,""909.5"""
"2013-08-04 00:00:00.0,""909.1"""
"2013-08-05 00:00:00.0,""907.0"""
"2013-08-06 00:00:00.0,""905.4"""
"2013-08-07 00:00:00.0,""904.1"""
"2013-08-08 00:00:00.0,""910.7"""
"2013-08-09 00:00:00.0,""913.0"""
"2013-08-10 00:00:00.0,""910.5"""
"2013-08-11 00:00:00.0,""907.0"""
"2013-08-12 00:00:00.0,""905.4"""
"2013-08-13 00:00:00.0,""907.2"""
"2013-08-14 00:00:00.0,""907.4"""
"2013-08-15 00:00:00.0,""907.2"""
"2013-08-16 00:00:00.0,""908.7"""
"2013-08-17 00:00:00.0,""908.5"""
"2013-08-18 00:00:00.0,""908.1"""
"2013-08-19 00:00:00.0,""909.8"""
"2013-08-20 00:00:00.0,""908.9"""
"2013-08-21 00:00:00.0,""906.8"""
"2013-08-22 00:00:00.0,""905.7"""
"2013-08-23 00:00:00.0,""906.6"""
"2013-08-24 00:00:00.0,""908.1"""
"2013-08-25 00:00:00.0,""905.4"""
"2013-08-26 00:00:00.0,""902.0"""
